-0.14139,-0.04982,-0.9887,1,Face Up
-0.78343,0.03778,-0.62033,1,Face Up
-0.10727,-0.45019,-0.88647,1,Face Up
0.27052,0.89044,-0.36596,4,Portrait Upside Down
0.02577,-0.94375,-0.32964,3,Portrait
0.04292,0.77025,-0.63629,4,Portrait Upside Down
-0.02345,-8.0E-4,0.99972,1,Face Up
-0.93624,0.05372,-0.34722,5,Landscape Left
0.98704,-0.07778,0.14034,2,Face Down
-0.17921,0.06468,0.98168,2,Face Down
-0.00969,0.14051,0.99003,1,Face Up
0.03503,-0.9617,0.27185,1,Face Up
0.0281,-0.99724,-0.06873,1,Face Up
0.04915,0.99215,0.11475,2,Face Down
0.99109,-0.09806,0.09011,6,Landscape Right
-0.06071,0.03074,-0.99768,1,Face Up
0.99468,-0.09528,-0.03905,6,Landscape Right
-0.92184,0.06845,-0.38149,1,Face Up
